Player,Team,Points,Cost,Position
Benteke,Aston Villa,0,7.9,F,5
Pell?,Southampton,37,7.8,F,5
Soldado,Spurs,1,7.7,F,5
Rodriguez,Southampton,0,7.4,F,5
Podolski,Arsenal,2,7.3,F,5
Welbeck,Arsenal,18,7.2,F,5
Remy,Chelsea,10,7.2,F,5
Lambert,Liverpool,8,7.0,F,5
Hern?ndez,Hull,14,6.9,F,5
Rivi?re,Newcastle,14,6.9,F,5
Carroll,West Ham,0,6.9,F,5
Valencia,West Ham,17,6.9,F,5
Gomis,Swansea,7,6.7,F,5
Vargas,QPR,8,6.5,F,5
Diouf,Stoke,19,6.4,F,5
Z?rate,West Ham,13,6.4,F,5
Drogba,Chelsea,4,6.2,F,5
Borini,Liverpool,3,6.1,F,5
Koz?k,Aston Villa,0,6.0,F,5
Jelavic,Hull,25,6.0,F,5
Eto'o,Everton,7,5.9,F,5
Ulloa,Leicester,38,5.9,F,5
Ciss?,Newcastle,12,5.9,F,5
Ings,Burnley,6,5.8,F,5
Austin,QPR,18,5.8,F,5
Wickham,Sunderland,11,5.8,F,5
Ferreyra,Newcastle,0,5.7,F,5
Long,Southampton,8,5.7,F,5
Crouch,Stoke,26,5.7,F,5
Ideye,West Brom,5,5.7,F,5
Weimann,Aston Villa,27,5.5,F,5
Berahino,West Brom,33,5.5,F,5
Sakho,West Ham,21,5.5,F,5
Agbonlahor,Aston Villa,24,5.4,F,5
Vokes,Burnley,0,5.4,F,5
Gayle,Crystal Palace,10,5.4,F,5
Chamakh,Crystal Palace,13,5.4,F,5
Kon?,Everton,0,5.4,F,5
Campbell,Crystal Palace,21,5.3,F,5
Naismith,Everton,27,5.3,F,5
Fletcher,Sunderland,7,5.3,F,5
Altidore,Sunderland,4,5.3,F,5
Campbell,Arsenal,1,5.2,F,5
Murray,Crystal Palace,1,5.2,F,5
Nugent,Leicester,16,5.2,F,5
Bojan,Stoke,4,5.1,F,5
Sagbo,Hull,0,5.0,F,5
Vardy,Leicester,24,5.0,F,5
Pozo,Man City,0,5.0,F,5
Samaras,West Brom,2,5.0,F,5
Cole,West Ham,11,5.0,F,5
Akpom,Arsenal,0,4.9,F,5
Jutkiewicz,Burnley,12,4.9,F,5
Doyle,Crystal Palace,2,4.9,F,5
Ayoze,Newcastle,5,4.9,F,5
Kane,Spurs,4,4.9,F,5
Emnes,Swansea,1,4.9,F,5
Anichebe,West Brom,7,4.9,F,5
Bent,Aston Villa,4,4.8,F,5
Sordell,Burnley,4,4.8,F,5
Mayuka,Southampton,0,4.8,F,5
Gallagher,Southampton,0,4.8,F,5
Graham,Sunderland,0,4.8,F,5
Sanogo,Arsenal,7,4.7,F,5
Johnson,Crystal Palace,0,4.5,F,5
Lawrence,Leicester,0,4.5,F,5
Hopper,Leicester,0,4.5,F,5
Wood,Leicester,6,4.5,F,5
Donnelly,Swansea,0,4.5,F,5
Robinson,Aston Villa,0,4.4,F,5
Barnes,Burnley,5,4.4,F,5
McAleny,Everton,0,4.4,F,5
Barmby,Leicester,0,4.4,F,5
Wilson,Man Utd,0,4.4,F,5
Campbell,Newcastle,0,4.4,F,5
Armstrong,Newcastle,0,4.4,F,5
Zamora,QPR,5,4.4,F,5
Mandron,Sunderland,0,4.4,F,5
Vaz Te,West Ham,5,4.4,F,5
Lee,West Ham,0,4.4,F,5
